STATISTIC,STATISTIC Label,TLIST(A1),Year,C02199V02655,Sex,C03658V04400,Influencing factor of EV purchase,UNIT,VALUE
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,70,Making more of a contribution to a better environment,%,71.8
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,20,Better affordability to run,%,77.8
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,110,Reduced tax,%,
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,120,Availabitity of purchase grants,%,
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,90,Reduced noise pollution,%,17.2
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,140,Access to home charging,%,
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,80,Improved health from use,%,41.9
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,150,How it looks,%,
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,50,More availability of overnight charging at low cost,%,35.8
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,30,Toll discounts,%,1.6
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,-,Both sexes,100,Other influencing factors,%,12.5
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,70,Making more of a contribution to a better environment,%,80.3
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,20,Better affordability to run,%,75.6
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,110,Reduced tax,%,
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,120,Availabitity of purchase grants,%,
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,90,Reduced noise pollution,%,21.2
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,140,Access to home charging,%,
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,80,Improved health from use,%,39.6
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,150,How it looks,%,
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,50,More availability of overnight charging at low cost,%,33.4
NTA47,Factors that influenced the purchase of an Electric Vehicle (EV),2019,2019,1,Male,30,Toll discounts,%,0
