"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02076V02508","Age Group","UNIT","VALUE"
"NTA77C01","Cost","2021","2021","1","Male","3502","18 - 29 years","%","56.6"
"NTA77C01","Cost","2021","2021","1","Male","450","30 - 44 years","%","68.4"
"NTA77C01","Cost","2021","2021","1","Male","503","45 - 59 years","%","61.2"
"NTA77C01","Cost","2021","2021","1","Male","557","60 - 74 years","%","69.2"
"NTA77C01","Cost","2021","2021","1","Male","605","75 years and over","%","60"
"NTA77C01","Cost","2021","2021","2","Female","3502","18 - 29 years","%","60.3"
"NTA77C01","Cost","2021","2021","2","Female","450","30 - 44 years","%","67.5"
"NTA77C01","Cost","2021","2021","2","Female","503","45 - 59 years","%","67.8"
"NTA77C01","Cost","2021","2021","2","Female","557","60 - 74 years","%","60.6"
"NTA77C01","Cost","2021","2021","2","Female","605","75 years and over","%","42.7"
"NTA77C02","Inadequete public charging facilities","2021","2021","1","Male","3502","18 - 29 years","%","18.4"
"NTA77C02","Inadequete public charging facilities","2021","2021","1","Male","450","30 - 44 years","%","35.1"
"NTA77C02","Inadequete public charging facilities","2021","2021","1","Male","503","45 - 59 years","%","35.7"
"NTA77C02","Inadequete public charging facilities","2021","2021","1","Male","557","60 - 74 years","%","34.8"
"NTA77C02","Inadequete public charging facilities","2021","2021","1","Male","605","75 years and over","%","23.9"
"NTA77C02","Inadequete public charging facilities","2021","2021","2","Female","3502","18 - 29 years","%","20.2"
"NTA77C02","Inadequete public charging facilities","2021","2021","2","Female","450","30 - 44 years","%","29.4"
"NTA77C02","Inadequete public charging facilities","2021","2021","2","Female","503","45 - 59 years","%","36.2"
"NTA77C02","Inadequete public charging facilities","2021","2021","2","Female","557","60 - 74 years","%","27.5"
"NTA77C02","Inadequete public charging facilities","2021","2021","2","Female","605","75 years and over","%","14.4"
"NTA77C03","No/limited access to home charging","2021","2021","1","Male","3502","18 - 29 years","%","16.2"
"NTA77C03","No/limited access to home charging","2021","2021","1","Male","450","30 - 44 years","%","29"
"NTA77C03","No/limited access to home charging","2021","2021","1","Male","503","45 - 59 years","%","21.6"
"NTA77C03","No/limited access to home charging","2021","2021","1","Male","557","60 - 74 years","%","23.8"
"NTA77C03","No/limited access to home charging","2021","2021","1","Male","605","75 years and over","%","18.1"
"NTA77C03","No/limited access to home charging","2021","2021","2","Female","3502","18 - 29 years","%","11.8"
"NTA77C03","No/limited access to home charging","2021","2021","2","Female","450","30 - 44 years","%","26.1"
"NTA77C03","No/limited access to home charging","2021","2021","2","Female","503","45 - 59 years","%","24.1"
"NTA77C03","No/limited access to home charging","2021","2021","2","Female","557","60 - 74 years","%","15.3"
"NTA77C03","No/limited access to home charging","2021","2021","2","Female","605","75 years and over","%","7.7"
"NTA77C04","Limited range available","2021","2021","1","Male","3502","18 - 29 years","%","6.6"
"NTA77C04","Limited range available","2021","2021","1","Male","450","30 - 44 years","%","26.7"
"NTA77C04","Limited range available","2021","2021","1","Male","503","45 - 59 years","%","25.3"
"NTA77C04","Limited range available","2021","2021","1","Male","557","60 - 74 years","%","19.9"
"NTA77C04","Limited range available","2021","2021","1","Male","605","75 years and over","%","12.6"
"NTA77C04","Limited range available","2021","2021","2","Female","3502","18 - 29 years","%","10"
"NTA77C04","Limited range available","2021","2021","2","Female","450","30 - 44 years","%","24.7"
"NTA77C04","Limited range available","2021","2021","2","Female","503","45 - 59 years","%","23.4"
"NTA77C04","Limited range available","2021","2021","2","Female","557","60 - 74 years","%","16"
"NTA77C04","Limited range available","2021","2021","2","Female","605","75 years and over","%","8.1"
"NTA77C05","Don't drive/ own a car","2021","2021","1","Male","3502","18 - 29 years","%","8.2"
"NTA77C05","Don't drive/ own a car","2021","2021","1","Male","450","30 - 44 years","%","2.3"
"NTA77C05","Don't drive/ own a car","2021","2021","1","Male","503","45 - 59 years","%","1.3"
"NTA77C05","Don't drive/ own a car","2021","2021","1","Male","557","60 - 74 years","%","2.8"
"NTA77C05","Don't drive/ own a car","2021","2021","1","Male","605","75 years and over","%","4"
"NTA77C05","Don't drive/ own a car","2021","2021","2","Female","3502","18 - 29 years","%","12.1"
"NTA77C05","Don't drive/ own a car","2021","2021","2","Female","450","30 - 44 years","%","2"
"NTA77C05","Don't drive/ own a car","2021","2021","2","Female","503","45 - 59 years","%","1.4"
"NTA77C05","Don't drive/ own a car","2021","2021","2","Female","557","60 - 74 years","%","6.4"
"NTA77C05","Don't drive/ own a car","2021","2021","2","Female","605","75 years and over","%","12.4"
"NTA77C06","Resale value of EV","2021","2021","1","Male","3502","18 - 29 years","%","4.7"
"NTA77C06","Resale value of EV","2021","2021","1","Male","450","30 - 44 years","%","5.6"
"NTA77C06","Resale value of EV","2021","2021","1","Male","503","45 - 59 years","%","5.3"
"NTA77C06","Resale value of EV","2021","2021","1","Male","557","60 - 74 years","%","4.4"
"NTA77C06","Resale value of EV","2021","2021","1","Male","605","75 years and over","%","3.4"
"NTA77C06","Resale value of EV","2021","2021","2","Female","3502","18 - 29 years","%","1.9"
"NTA77C06","Resale value of EV","2021","2021","2","Female","450","30 - 44 years","%","2.7"
"NTA77C06","Resale value of EV","2021","2021","2","Female","503","45 - 59 years","%","4.6"
"NTA77C06","Resale value of EV","2021","2021","2","Female","557","60 - 74 years","%","2.9"
"NTA77C06","Resale value of EV","2021","2021","2","Female","605","75 years and over","%","2.3"
"NTA77C07","Reliability/ safety concerns","2021","2021","1","Male","3502","18 - 29 years","%","1.2"
"NTA77C07","Reliability/ safety concerns","2021","2021","1","Male","450","30 - 44 years","%","6.3"
"NTA77C07","Reliability/ safety concerns","2021","2021","1","Male","503","45 - 59 years","%","8.4"
"NTA77C07","Reliability/ safety concerns","2021","2021","1","Male","557","60 - 74 years","%","5.6"
"NTA77C07","Reliability/ safety concerns","2021","2021","1","Male","605","75 years and over","%","5.1"
"NTA77C07","Reliability/ safety concerns","2021","2021","2","Female","3502","18 - 29 years","%","3.4"
"NTA77C07","Reliability/ safety concerns","2021","2021","2","Female","450","30 - 44 years","%","3.8"
"NTA77C07","Reliability/ safety concerns","2021","2021","2","Female","503","45 - 59 years","%","5.3"
"NTA77C07","Reliability/ safety concerns","2021","2021","2","Female","557","60 - 74 years","%","5"
"NTA77C07","Reliability/ safety concerns","2021","2021","2","Female","605","75 years and over","%","4.6"
"NTA77C08","No need/ don't know enough","2021","2021","1","Male","3502","18 - 29 years","%","0"
"NTA77C08","No need/ don't know enough","2021","2021","1","Male","450","30 - 44 years","%","4.3"
"NTA77C08","No need/ don't know enough","2021","2021","1","Male","503","45 - 59 years","%","3.7"
"NTA77C08","No need/ don't know enough","2021","2021","1","Male","557","60 - 74 years","%","6.5"
"NTA77C08","No need/ don't know enough","2021","2021","1","Male","605","75 years and over","%","10.5"
"NTA77C08","No need/ don't know enough","2021","2021","2","Female","3502","18 - 29 years","%","1.2"
"NTA77C08","No need/ don't know enough","2021","2021","2","Female","450","30 - 44 years","%","2.8"
"NTA77C08","No need/ don't know enough","2021","2021","2","Female","503","45 - 59 years","%","3"
"NTA77C08","No need/ don't know enough","2021","2021","2","Female","557","60 - 74 years","%","9.6"
"NTA77C08","No need/ don't know enough","2021","2021","2","Female","605","75 years and over","%","11"
"NTA77C09","Not changing for a while","2021","2021","1","Male","3502","18 - 29 years","%","3.6"
"NTA77C09","Not changing for a while","2021","2021","1","Male","450","30 - 44 years","%","1.1"
"NTA77C09","Not changing for a while","2021","2021","1","Male","503","45 - 59 years","%","1.4"
"NTA77C09","Not changing for a while","2021","2021","1","Male","557","60 - 74 years","%","0.8"
"NTA77C09","Not changing for a while","2021","2021","1","Male","605","75 years and over","%","1.4"
"NTA77C09","Not changing for a while","2021","2021","2","Female","3502","18 - 29 years","%","7.2"
"NTA77C09","Not changing for a while","2021","2021","2","Female","450","30 - 44 years","%","1"
